,datadate,open,high,low,close,adjcp,volume,macd
0,2009-01-02,3.067142963409424,3.2514286041259766,3.041428565979004,3.2410714626312256,2.773207426071167,746015200,0.003702307358766088
1,2009-01-05,3.327500104904175,3.434999942779541,3.3110713958740234,3.377857208251953,2.8902478218078613,1181608400,0.008346890102822524
2,2009-01-06,3.426785707473755,3.4703571796417236,3.29964280128479,3.3221428394317627,2.842575788497925,1289310400,0.008533595695440876
3,2009-01-07,3.278928518295288,3.3035714626312256,3.223571538925171,3.250357151031494,2.7811529636383057,753048800,0.006011239490924414
4,2009-01-08,3.229642868041992,3.3267858028411865,3.2157142162323,3.3107142448425293,2.832797050476074,673500800,0.006590301413670119
5,2009-01-09,3.3289284706115723,3.3350000381469727,3.219285726547241,3.234999895095825,2.768012523651123,546845600,0.0039132955825871285
6,2009-01-12,3.2307143211364746,3.249642848968506,3.1267857551574707,3.166428565979004,2.7093403339385986,617716400,-0.0007350777130010755
7,2009-01-13,3.151428461074829,3.2049999237060547,3.0839285850524902,3.132499933242798,2.6803083419799805,798397600,-0.00538318709105523
8,2009-01-14,3.0799999237060547,3.1160714626312256,3.02571439743042,3.047499895095825,2.6075799465179443,1021664000,-0.01234830385763308
9,2009-01-15,2.877500057220459,3.0042858123779297,2.858928680419922,2.9778571128845215,2.5479896068573,1831634000,-0.02038294234406912
10,2009-01-16,3.010714292526245,3.0135715007781982,2.8714284896850586,2.940357208251953,2.5159032344818115,1047625600,-0.027758766060625106
11,2009-01-20,2.9260714054107666,2.9285714626312256,2.7928571701049805,2.7928571701049805,2.3896961212158203,919914800,-0.039989854134101055
12,2009-01-21,2.835357189178467,2.9600000381469727,2.8324999809265137,2.958214282989502,2.5311825275421143,1089270000,-0.040425591406982875
13,2009-01-22,3.1442856788635254,3.2142856121063232,3.065000057220459,3.155714273452759,2.700171709060669,1409528400,-0.03021031952963682
14,2009-01-23,3.1007142066955566,3.2096428871154785,3.0892856121063232,3.155714273452759,2.700171709060669,763770000,-0.022079323462393496
15,2009-01-26,3.1735713481903076,3.2489285469055176,3.153571367263794,3.2014286518096924,2.7392876148223877,692238400,-0.013183632598399164
16,2009-01-27,3.221071481704712,3.2696428298950195,3.2049999237060547,3.2403571605682373,2.772597312927246,618038400,-0.0041089544800936295
17,2009-01-28,3.2899999618530273,3.392857074737549,3.267857074737549,3.364285707473755,2.878635883331299,861406000,0.009717248039730286
18,2009-01-29,3.3246428966522217,3.369285821914673,3.307142972946167,3.3214285373687744,2.8419649600982666,592729200,0.017866124479635648
19,2009-01-30,3.307142972946167,3.343571424484253,3.2146427631378174,3.218928575515747,2.754261016845703,651478800,0.018145605486732386
20,2009-02-02,3.182142972946167,3.2857143878936768,3.174999952316284,3.268214225769043,2.7964327335357666,558247200,0.02097449301442067
21,2009-02-03,3.2828571796417236,3.3350000381469727,3.22428560256958,3.320714235305786,2.84135365486145,599309200,0.025971609352673397
22,2009-02-04,3.3292856216430664,3.4375,3.325000047683716,3.341071367263794,2.8587725162506104,808421600,0.030743703308177217
23,2009-02-05,3.3132143020629883,3.4732143878936768,3.307857036590576,3.444999933242798,2.9476981163024902,749246400,0.04027398986873543
24,2009-02-06,3.4649999141693115,3.5714285373687744,3.4642856121063232,3.5614285469055176,3.0473196506500244,687209600,0.05421593332522301
25,2009-02-09,3.5714285373687744,3.6785714626312256,3.5535714626312256,3.661071538925171,3.1325790882110596,715010800,0.07048851717847748
26,2009-02-10,3.6189286708831787,3.661071538925171,3.466428518295288,3.4939286708831787,2.9895639419555664,849060800,0.07212891818568457
27,2009-02-11,3.4417858123779297,3.5110714435577393,3.4203572273254395,3.457857131958008,2.9586997032165527,674973600,0.07034510495064339
28,2009-02-12,3.422499895095825,3.5625,3.422499895095825,3.5453572273254395,3.0335686206817627,817188400,0.07357383030378273
29,2009-02-13,3.5353572368621826,3.5692856311798096,3.5042858123779297,3.541428565979004,3.0302069187164307,608977600,0.07499726127430995
